model,F_ref,lambda,T_eq,epsilon,kappa_pde,h_ml_pde,F_ref_unc,lambda_unc,T_eq_unc,epsilon_unc,kappa_pde_unc,h_ml_pde_unc,joint_converged,joint_reduced_chi2,joint_cond,joint_rmse_T,joint_rmse_N,joint_any_at_bound
CCSM3,6.358819569168546,1.2841773903057112,4.9516675945016955,1.0,2.744733349573114e-05,100.17439352334564,0.20281962292675038,0.09044020949421694,0.0,0.09085891938646806,2.976456339120419e-06,6.019377999153209,True,1.0134680134680132,444860.94948590413,0.45287359694752544,0.24244449990479144,True
CESM1,8.329799689172079,1.4465894133110024,5.758233547490544,1.3262264416508538,2.8373578056313768e-05,100.0000666189618,0.1412664654258647,0.06855522477200103,0.0,0.07624488211126809,2.968406120922864e-06,12.972290714680263,True,0.9117068623848839,2859983.9478212614,0.34435184075665487,0.2514765278938297,True
CNRMCM6,8.286993879126799,0.8328036943821484,9.950716999730489,1.1905027191705815,3.304724369272789e-05,100.00000143654057,0.09575760619687791,0.027334625057065014,0.0,0.042938223444898976,2.9526082836395946e-06,6.034436423782171,True,0.941165238804583,3875176.6170838745,0.6175363718422805,0.1791906813732368,True
ECHAM5,8.601271545765066,0.8162067373805597,10.53810407565245,1.3075365323091168,2.7090776135163103e-05,100.00159351099131,0.18721651825533261,0.03934145362661811,0.0,0.06686077784474549,3.2187468158073692e-06,14.53034255544048,True,0.9536929693809109,6176677.153469136,0.5529831912819797,0.4399344945102499,True
GISSE2R,8.075989686304593,1.8702937212635429,4.318032827939225,1.1695581601054996,6.749257902129524e-05,100.0000000002493,0.1664165349687091,0.10197782839215354,0.0,0.0637793016807605,9.066129386935401e-06,8.669584434180388,True,0.9685178514656859,1337912.2526485065,0.33170304410001017,0.21798203131501012,True
IPSLCM5A,7.583775783015434,0.9357921223361376,8.10412441182245,1.2405110835621933,2.710569221041952e-05,100.00007489157454,0.11795030105721135,0.04021297734869866,0.0,0.06581942469755724,1.6629968775477658e-06,3.3549597679755263,True,0.947910084166435,436758.64232986176,0.4271911849901754,0.24843565856925728,True
HadGEM2,8.935186985694044,0.986512232098458,9.05735042604345,1.642035547399986,1.894069342935464e-05,100.01334948084735,0.1352297487742798,0.03217069563455932,0.0,0.05642444104857101,2.0306749556965827e-06,9.773095873729266,True,0.7598873340271824,3789131.4426295226,0.4816387059795828,0.2620915705299684,True
MPIESM11,9.116065261455473,1.511869239597978,6.029665147416804,1.1401155113489565,3.140921612661327e-05,100.01482266686284,0.14496305653549071,0.05418451516295982,0.0,0.05063284196456963,2.8765596657977558e-06,6.124017054512977,True,0.9417542924138436,699788.5312332807,0.3493775843127446,0.2424978086900517,True
