model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,4.671565292419472,126.66919494482792,0.5745946674967481,126.66919494482792,0.5745946674967481,2.9878820245463524,351.34436622552903,5.254201077943375,0.9810144461736904,5.355885530979337,0.6242506760411293,0.37574932395887073,1.0,2.1372976824606287,8.253105333966223,0.01794461987028799,8.253105333966223,0.01794461987028799,1.3732316728500242,21.017098281516695,0.05387231756918105,0.011420320113359472,0.08308506754727446,0.006176080258713768,0.006176080258713768,0.0
CESM1,5.023272833793167,93.01553028237471,0.6785215105795928,93.01553028237471,0.6785215105795928,3.5606643656100054,270.8047686597647,4.796851032711839,0.7141530037339802,6.716839399444228,0.49963661041270835,0.5003633895872917,1.0,1.0973483921159222,3.8459174156304976,0.019600673605933084,3.8459174156304976,0.019600673605933084,0.7862303073704429,9.780740172127617,0.03629272588484219,0.005790558061168379,0.0744896886378509,0.006442472725744716,0.006442472725744716,0.0
CNRMCM6,5.778350736400301,129.28779501503905,0.561920981964385,129.28779501503905,0.561920981964385,5.2290191461127495,479.66293755569643,5.819374588922348,0.5300657999599344,10.978589053212284,0.4739391078402829,0.5260608921597171,1.0,1.6256391018958845,4.644360118654696,0.011532755352087658,4.644360118654696,0.011532755352087658,1.4877430816765058,15.272526346578717,0.03810406250393398,0.00455804247123178,0.11865849575655157,0.003371184571379023,0.003371184571379023,0.0
ECHAM5,7.392513822708923,135.99755023566638,0.5279201603266466,135.99755023566638,0.5279201603266466,7.000188988994831,529.9165781308876,6.022296896077671,0.5133785415638148,11.73071409983948,0.47925421289399694,0.520745787106003,1.0,2.119126433887371,8.584041883438472,0.016604456755215737,8.584041883438472,0.016604456755215737,2.0304024132932934,29.91912376366268,0.07667115061631744,0.008734816858066605,0.24928054198882904,0.005356333121224742,0.005356333121224742,0.0
GISSE2R,3.5633843633657354,137.29250462232332,0.937514740931523,137.29250462232332,0.937514740931523,1.7403043172405432,272.896424403233,5.2644262589326924,1.0987739381285835,4.791182313533018,0.5336509877783197,0.46634901222168035,1.0,1.1756996968133346,4.767780045435924,0.02131833760427676,4.767780045435924,0.02131833760427676,0.5770655177264183,8.542658732098106,0.028668870185200448,0.006261136074854539,0.037764422592940515,0.005164358514896085,0.005164358514896085,0.0
IPSLCM5A,6.763007127658673,104.26970866119801,0.5726409462421856,104.26970866119801,0.5726409462421856,5.430321072442874,346.12644519425953,5.659943509661553,0.6551719808531988,8.638866854914768,0.518512931152123,0.48148706884787695,1.0,1.9602592052328673,4.449295727919187,0.016643772256828,4.449295727919187,0.016643772256828,1.594408383338892,12.203892585823308,0.058768280197634026,0.008894620607918197,0.1476510210376028,0.00473501540626019,0.00473501540626019,0.0
HadGEM2,6.482981337704927,84.50875018062673,0.5404759394160469,84.50875018062673,0.5404759394160469,5.589544104025377,302.59334071450746,5.625182643485643,0.5993276741391982,9.38582162347997,0.5076377216206914,0.49236227837930857,1.0,1.3334753203925651,2.4507583658858763,0.012768158107956926,2.4507583658858763,0.012768158107956926,1.16757433502944,6.464456350718,0.056424286053783926,0.007493991385420062,0.15045564237339043,0.003355876763333319,0.003355876763333319,0.0
MPIESM11,7.218447768016238,132.48976068777577,0.6554528106487636,132.48976068777577,0.6554528106487636,4.521412437655054,348.47742155150723,6.356427602458646,0.926053195191103,6.863998348547262,0.5745307178220881,0.4254692821779119,1.0,1.3937331486882045,7.699350017580501,0.018219881263532706,7.699350017580501,0.018219881263532706,0.8794293076447794,18.631319884959645,0.04235654748365303,0.0065178454904585145,0.06652804878090433,0.006301885379198875,0.006301885379198875,0.0
