model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,3.90898588325071,133.84306941275128,0.5888076664685302,111.4351895744137,0.4902300449599355,2.9915140797862145,366.73414381782055,4.393397486846619,0.8099237547073216,5.424458118819149,0.6167012152851656,0.3832987847148344,0.8325809476975222,1.7960208805231765,11.583699306664672,0.03818618777479819,8.602845864708701,0.025357322185967753,1.3749583478863499,21.93534280690496,0.1758233106567079,0.03516839963166983,0.32032104531603295,0.006035136998029424,0.006035136998029424,0.03257140566499104
CESM1,5.073922698602423,92.60677461186803,0.6761214482221358,93.84318665180105,0.6851484843384726,3.5602735582602874,270.4655179314507,4.845505075585419,0.7217164744724136,6.713862364202732,0.4998305285205541,0.5001694714794459,1.01335120508316,1.1108083641242315,4.409302410027894,0.025229945900231355,4.117610440571278,0.02220861980498645,0.7860770207541928,9.76903619595013,0.07731764517552268,0.012089866021034899,0.1553249431698813,0.006448416004298965,0.006448416004298965,0.01873394624750917
CNRMCM6,7.568347338305024,119.61265066751079,0.5506429292604094,153.72204109074724,0.7076672452765034,5.220114923838428,434.54941785752675,7.62651298689093,0.7247510715305859,10.522941305605336,0.4938016205149379,0.5061983794850621,1.2851654087831468,2.1313261964212926,4.947466389507323,0.016207132693718658,6.013702278207346,0.018533356843049666,1.4848676598307438,13.757432931441485,0.11503569873009924,0.012530216170720317,0.24143809499032867,0.003560309605863727,0.003560309605863727,0.017262642827564678
ECHAM5,8.723138569446554,131.8411468911793,0.5115076616787088,160.6307690259014,0.623203536949728,7.000238010000132,530.4339084035402,7.1062784648018065,0.6055186377773344,11.735854227190572,0.4790480021460686,0.5209519978539314,1.2183659867467993,2.5105987076928726,9.938884695246243,0.026519142884262957,10.94716394346236,0.025311108205442332,2.0304129098001304,29.948794437577316,0.20902064181205846,0.01866835616129526,0.5000721615560507,0.005353310714006355,0.005353310714006355,0.039260339818172695
GISSE2R,2.8123584351449975,147.70168350792648,0.999452186263277,109.39507587142691,0.7402430706909795,1.7474294506975248,276.4596312728589,4.139882015682536,0.860325347288445,4.811995867296631,0.531593465631657,0.46840653436834295,0.740648808282244,0.9248100194634036,6.385450408884149,0.034278682486083366,4.192400571069337,0.020620701392904457,0.5767751227985343,8.64885025670646,0.07002337876060555,0.014918949477708594,0.11656628233849724,0.005117122693182489,0.005117122693182489,0.014818953452385087
IPSLCM5A,7.790844900654521,98.9888351660266,0.5589928063099011,114.8758790371832,0.6487074011186119,5.424054512888654,331.5603710763198,6.522597691840562,0.7671457629459363,8.502422886092685,0.5263449992264075,0.4736550007735925,1.1604932904252327,2.2627499100227255,5.066881757907679,0.02277470205298053,5.418800815633029,0.02307238620463456,1.5923813241058051,11.673171007387221,0.13661632331328616,0.018287556250944324,0.26980526059737836,0.004855497074948873,0.004855497074948873,0.023062933532582233
HadGEM2,7.115605262334044,81.63462177820281,0.5325104654734856,90.02321575623016,0.5872300683405641,5.582590628879635,293.7519368834872,6.176669461732798,0.665183647283906,9.285660414163104,0.5126112559477443,0.48738874405225574,1.1027577980433196,1.4723813183568961,3.5989607041465184,0.021738300692955258,3.3872131137131514,0.0198148342718729,1.165515246586266,6.275074192173686,0.1470922235237125,0.01786519291054392,0.33330756274308576,0.003421691403139315,0.003421691403139315,0.02533651659937065
MPIESM11,8.966542166113701,121.71237672011992,0.606537732162431,162.69618663497127,0.8107751958535072,4.51986193605755,344.85690331833655,7.89693638174413,1.1543508366347703,6.8410193254294605,0.5763333364796219,0.42366666352037813,1.3367267242598873,1.73379982316704,7.458905817360799,0.02059487679301996,9.646013002543357,0.02449082618260871,0.8789156078668537,18.443951379235614,0.10338309587056292,0.015415630640918733,0.12793397509116106,0.006343199480954121,0.006343199480954121,0.02072943949428985
