model,F_ref,lambda,T_eq,epsilon,kappa_pde,h_ml_pde,F_ref_unc,lambda_unc,T_eq_unc,epsilon_unc,kappa_pde_unc,h_ml_pde_unc,joint_converged,joint_reduced_chi2,joint_cond,joint_rmse_T,joint_rmse_N,joint_any_at_bound
CCSM3,9.166372191137324,1.7101788901885462,5.35989085336373,1.7732743266267887,5.18390819415934e-05,100.00000000000001,0.8719923448015966,0.16612046058803728,0.10528351841026541,0.17026535379378926,5.990456112880867e-07,1.569182645388712,True,0.6013297422418843,122166.57987553813,0.19916830931861013,0.28058189565525027,True
CESM1,7.603187107811834,1.1251165488362191,6.757688450744327,1.734672442466191,2.6830570597836615e-05,100.20892670493814,0.22407933820280027,0.03637001343821002,0.08974159849055725,0.0534767797992065,2.0042637226329159e-07,4.03409590826447,True,0.6811006008663806,1990992.6268856593,0.17709625613400712,0.23507615475822669,False
CNRMCM6,7.49047783767621,0.6668055607080493,11.233376382948014,1.3882178591061902,6.16687828159992e-05,100.00000000000001,0.16909581770039356,0.02148712540073627,0.25831008508613723,0.03673593564083861,4.687884292468398e-07,1.4560971558001348,True,0.5613939529971982,249381.77216851772,0.4257054418870918,0.20521749873456369,True
ECHAM5,6.9018911619855,0.5751284118979059,12.000608940896301,1.2347579506532687,3.6647517565681315e-05,100.00000000000001,0.5049103270962731,0.045352390098225934,0.35327063954297716,0.09289874831112929,5.030859509315333e-07,5.9432160106331295,True,0.7763889288758927,1906553.4130627923,0.43027980224212303,0.3937755885524757,True
GISSE2R,9.329829350006015,1.9453229442786084,4.796031104987471,1.8362980969509035,4.477758892301945e-05,100.08075616186409,0.37470404565437954,0.0835512592740176,0.07300453178024488,0.07624147931521924,5.85099135254595e-07,1.4605127098526418,True,0.6789197230295553,71264.4514538449,0.20168325190949812,0.2586526164470668,True
IPSLCM5A,6.563215574929919,0.7395192816017018,8.874975593218956,1.2723826484380196,4.687641411290126e-05,100.00000002030275,0.23373250166389495,0.03702751432340365,0.31235950623482195,0.05274921136236543,6.813641858525183e-07,6.960201910820535,True,0.6563489135855113,2145016.794585796,0.36892486686698883,0.23579794898265266,True
HadGEM2,6.714410515729298,0.712871795699061,9.418819142851582,1.2101875547757972,3.488047206819112e-05,100.00000000001029,0.2730661753443888,0.03369040958281484,0.2267527169748423,0.05251757898983631,4.3465748316809525e-07,1.1534476441561696,True,0.7308553844202568,79171.10647476319,0.3112658403005394,0.24277706989576833,True
MPIESM11,8.607285851722253,1.2482300799470054,6.895592399189485,1.4766401678679302,2.7574549442128182e-05,100.00000000117201,0.177593895753043,0.027510389208037285,0.0534222771792228,0.03146569484249936,3.4091381219465305e-07,1.9363129858776098,True,0.7606343627835795,131905.95361413225,0.2636796431565332,0.2571179537142927,True
