model,tau,F_ref,lambda,T_eq,a_f,a_s,epsilon,kappa_pde,h_ml_pde,tau_unc,F_ref_unc,lambda_unc,T_eq_unc,epsilon_unc
CCSM3,,4.275941325681841,0.8029388208553785,5.325363794375566,,,0.7876762011855829,5.6450763725340954e-05,1.0000000000000067,,0.0673459403269581,0.014177387832605687,0.10528351841026541,0.05525373434734885
CESM1,,2.2693819814367435,0.34076335771423144,6.659700727975209,,,0.6060914932451712,1.5319486326176365e-05,18.578454908311937,,0.03963982183251859,0.006307330257060354,0.08974159849055725,0.0753356785582193
CNRMCM6,,3.3435880840184478,0.2941948797658915,11.365215080150755,,,0.6566295332306044,6.234439537796284e-05,1.0000000000000002,,0.07450280777347391,0.008832263538860949,0.25831008508613723,0.14415368562920286
ECHAM5,,4.63082445087405,0.38898876615694944,11.904776831024476,,,0.8100468053513706,4.245145210423765e-05,1.0000000000001,,0.0982272335951938,0.011000450737836029,0.35327063954297716,0.133992438934559
GISSE2R,,4.778704818676211,0.99779782683912,4.789251579966314,,,0.9552446837194237,4.5407170480531114e-05,4.1426863246049574,,0.05349458053787416,0.011645834161163281,0.07300453178024488,0.042156802727866795
IPSLCM5A,,6.695286068834955,0.7910746635633722,8.463532429007698,,,1.0284113894028806,6.378919518141485e-05,1.0000000000000002,,0.10947509502387535,0.01631829396084703,0.31235950623482195,0.011253572409739307
HadGEM2,,3.976205464890155,0.42216424831796306,9.418621971738784,,,0.7132420786191591,4.001205657209103e-05,1.0000000000000224,,0.08401357694045351,0.011024792358353679,0.2267527169748423,0.11877740206404819
MPIESM11,,5.3274074130760765,0.7769167007978899,6.857115322150822,,,0.862708880931859,2.8972130942158026e-05,47.78094343865047,,0.031037825511602658,0.004756949742590303,0.0534222771792228,0.0581324711301474
