model,F_ref,lambda,T_eq,epsilon,kappa_pde,h_ml_pde,F_ref_unc,lambda_unc,T_eq_unc,epsilon_unc
CCSM3,4.337151398926009,0.8136767306230468,5.330312685241687,0.7837211714972663,4.3167077386504155e-05,1.0000000000000002,0.0673459403269581,0.014177387832605687,0.10528351841026541,0.05848936083447725
CESM1,2.757407668825239,0.411039990906561,6.708368357890661,0.7151634237618254,2.6240649277728847e-05,1.0000000000000002,0.03963982183251859,0.006307330257060354,0.08974159849055725,0.0746433736647766
CNRMCM6,1.6019743265202957,0.12326709586056739,12.995960644131314,0.3438264458497706,3.654024662437435e-05,1.0000000000000022,0.07450280777347391,0.008832263538860949,0.25831008508613723,0.09834514700073826
ECHAM5,4.664425269147918,0.3913741608360915,11.91807159466869,0.8136917491472897,3.919986474531039e-05,1.0000000000000224,0.0982272335951938,0.011000450737836029,0.35327063954297716,0.1325691994810474
GISSE2R,4.182550418888688,0.8825473944227833,4.739179386081834,0.7772059395677103,7.414465568860768e-05,1.0000000000000002,0.05349458053787416,0.011645834161163281,0.07300453178024488,0.057897793429942154
IPSLCM5A,0.1,0.05,2.0,0.31862963121669496,1.0001237068869463e-07,1.0000000000000002,0.10947509502387535,0.01631829396084703,0.31235950623482195,0.11922321975118629
HadGEM2,4.15366147035241,0.4402042069135144,9.435760506415305,0.733015142708184,3.280584292280284e-05,1.0000000000000002,0.08401357694045351,0.011024792358353679,0.2267527169748423,0.11697365567272036
MPIESM11,5.212806076408131,0.7613084187488812,6.8471672557815015,0.8634760481366739,4.7302723288473096e-05,1.0000000000000002,0.031037825511602658,0.004756949742590303,0.0534222771792228,0.05889633028684211
