model,F_ref,lambda,T_eq,epsilon,kappa_pde,h_ml_pde,F_ref_unc,lambda_unc,T_eq_unc,epsilon_unc,kappa_pde_unc,h_ml_pde_unc,joint_converged,joint_reduced_chi2,joint_cond,joint_rmse_T,joint_rmse_N,joint_any_at_bound
CCSM3,4.912780838642701,0.9165822538269721,5.35989085336373,0.9373379600167847,3.8328296888253676e-05,10.000001759811225,0.0673459403269581,0.059583641010596475,0.0,0.07529030243044667,2.4978937249772384e-06,7.5339414409453145,True,0.7601412759197169,1403731.145913642,0.31931860871801804,0.030580503882121732,True
CESM1,4.232329071406194,0.6262983418449874,6.757688450744327,0.9660074214797917,3.309914233249782e-05,10.005698917936712,0.03963982183251859,0.028864634794889907,0.0,0.04285553760036213,1.0243061884684398e-06,1.0983315186432527,True,0.5353361132717345,92178.97720373546,0.30630770321011913,0.028141826092650084,True
CNRMCM6,5.336216023799932,0.4750322469297989,11.233376382948014,0.9852640335650783,3.59512451678953e-05,13.88446796161058,0.07450280777347391,0.02127642134907538,0.0,0.056183739069426114,1.4106768129790242e-06,1.4895836907107287,True,0.7583280635342382,491475.8500349199,0.4736027069846135,0.04032826534837808,False
ECHAM5,5.674048931459777,0.4728134180027696,12.000608940896301,1.0160788638586735,3.617863860269631e-05,10.23402732493755,0.0982272335951938,0.04884434258973886,0.0,0.1124774073460366,1.5967285606834386e-06,1.8128364733821691,True,1.0079099260040802,497316.16107110964,0.428635751714434,0.05074323893811101,True
GISSE2R,4.974989343691179,1.037313819444917,4.796031104987471,0.9782605301720927,6.723993909695847e-05,10.000000100496017,0.05349458053787416,0.02014991021363801,0.0,0.01783255592676968,4.441749385131412e-06,12.526001600743665,True,0.5131275868032145,5081855.934507111,0.2867633270414425,0.03952185572799848,True
IPSLCM5A,5.106713133242889,0.5754058791040216,8.874975593218956,0.9875664434711043,3.452497748950817e-05,11.318006092192345,0.10947509502387535,0.05322696758134146,0.0,0.10936187818171625,1.7632913433183639e-06,4.719063063135667,True,0.939688652152358,2244469.242874047,0.27441868974159833,0.03650859812147543,False
HadGEM2,6.256597888183975,0.6642656359881827,9.418819142851582,1.1476177407856052,2.8968260721013468e-05,10.698565885640047,0.08401357694045351,0.07007538065664717,0.0,0.14116442221649247,1.5688425740429592e-06,4.969236847456017,True,0.6315948466290014,2710655.78817322,0.2855839531077744,0.03979582975801195,False
MPIESM11,5.892251392426884,0.8544953140094919,6.895592399189485,1.0092485408694523,4.367370446789473e-05,10.672124140673183,0.031037825511602658,0.017339406535085398,0.0,0.01882820116921361,1.9152696125190482e-06,0.6484641452418369,True,0.556189423042507,27306.0972556385,0.31119549327579626,0.02174049677732154,False
