model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,5.830629200734597,282.8766197333925,0.3271447322484863,282.8766197333925,0.3271447322484863,4.4513648038590246,1154.5266311032367,5.254201077943375,0.9810144461736904,5.355885530979337,0.7479789032126938,0.2520210967873063,1.0,2.7989296933021657,5.9215706196184845,0.0067712240221449674,5.9215706196184845,0.0067712240221449674,2.1388968908647987,13.220799147322715,0.05387231756918105,0.011420320113359472,0.08308506754727446,0.003095196658088687,0.003095196658088687,0.0
CESM1,7.102008971904251,278.44333317681225,0.1663518729657724,278.44333317681225,0.1663518729657724,8.058471919684193,2065.6007446091035,4.796851032711839,0.7141530037339802,6.716839399444228,0.8095887019889467,0.19041129801105328,1.0,2.3144782656029474,5.935801967771967,0.0036735294607752257,5.935801967771967,0.0036735294607752257,2.6275927480615686,21.49286491224395,0.03629272588484219,0.005790558061168379,0.0744896886378509,0.003134614682217123,0.003134614682217123,0.0
CNRMCM6,6.760326848844155,385.50601502410217,0.29349128532510166,385.50601502410217,0.29349128532510166,8.190378190243157,2045.3606771448892,5.819374588922348,0.5300657999599344,10.978589053212284,0.6407551593725955,0.3592448406274045,1.0,2.1940784555359736,5.5691783372754795,0.003652867101101624,5.5691783372754795,0.003652867101101624,2.663132538754884,19.94951559345348,0.03810406250393398,0.00455804247123178,0.11865849575655157,0.0018552185096451983,0.0018552185096451983,0.0
ECHAM5,7.73024933227343,169.26355600474952,0.430553864971449,169.26355600474952,0.430553864971449,8.111462104806597,729.7811053533604,6.022296896077671,0.5133785415638148,11.73071409983948,0.533510511681049,0.46648948831895093,1.0,2.297599802761251,3.7503138908291564,0.010444990089429989,3.7503138908291564,0.010444990089429989,2.4299161272897645,5.840558561801276,0.07667115061631744,0.008734816858066605,0.24928054198882904,0.0030308149283505064,0.0030308149283505064,0.0
GISSE2R,7.512678316879858,225.98659905134755,0.2288158910619431,225.98659905134755,0.2288158910619431,5.6532756747435995,1194.4907295118346,5.2644262589326924,1.0987739381285835,4.791182313533018,0.8260017323555943,0.1739982676444057,1.0,3.244238517276776,7.000640554898893,0.007721462845437981,7.000640554898893,0.007721462845437981,2.4432912593194764,15.297640700715029,0.028668870185200448,0.006261136074854539,0.037764422592940515,0.00473601542981418,0.00473601542981418,0.0
IPSLCM5A,7.554110267766167,244.88933770690593,0.35410638060422084,244.88933770690593,0.35410638060422084,7.4561530796471995,1069.4224884428704,5.659943509661553,0.6551719808531988,8.638866854914768,0.6441953859138387,0.3558046140861613,1.0,2.4019097653685324,4.766783171472184,0.006338774015053391,4.766783171472184,0.006338774015053391,2.377591795211322,11.76437114295267,0.058768280197634026,0.008894620607918197,0.1476510210376028,0.0021683534271225275,0.0021683534271225275,0.0
HadGEM2,7.338079031384053,210.2604780760947,0.30362755614941755,210.2604780760947,0.30362755614941755,8.094544157098758,1047.4712698799053,5.625182643485643,0.5993276741391982,9.38582162347997,0.6584717112491247,0.3415282887508753,1.0,1.8273071309258455,3.4065609450308507,0.004844367232888157,3.4065609450308507,0.004844367232888157,2.021085723157377,7.5913075109386625,0.056424286053783926,0.007493991385420062,0.15045564237339043,0.0018075727498711716,0.0018075727498711716,0.0
MPIESM11,8.897209368660576,216.13196034933537,0.22749938953484447,216.13196034933537,0.22749938953484447,7.70046711997311,1185.3307801164788,6.356427602458646,0.926053195191103,6.863998348547262,0.8001939714921804,0.19980602850781953,1.0,2.3843658067834768,6.299805729488507,0.007297035478917766,6.299805729488507,0.007297035478917766,2.065738603447578,15.153850670172847,0.04235654748365303,0.0065178454904585145,0.06652804878090433,0.00497007057811785,0.00497007057811785,0.0
