model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,6.845358831475346,140.56217672979616,0.6256548329555744,193.3490244216966,0.8606138179634273,3.0511801048375657,367.6283896805784,7.28315037897192,1.3710490845674357,5.312100391555088,0.6078627761607703,0.39213722383922966,1.3755409095106221,3.1323166373797315,14.857468511272293,0.05562510611551592,14.92228742790115,0.044622133668876546,1.397006859253033,21.988722597658366,0.31230953891610086,0.059365927620743046,0.3237178357815439,0.006159251566921752,0.006159251566921752,0.09934528423782252
CESM1,8.008120601461666,84.12029203844278,0.7531371709352115,113.62581535147689,1.0173029960465432,3.4847085937859723,205.67072521217247,7.627488903427071,1.248010813165921,6.111717000334202,0.5351926991172417,0.46480730088275835,1.3507539334213217,1.693482639393776,5.703690622840929,0.04696856170561439,5.883689783926891,0.045189044774452514,0.7391871939782554,7.55207159751936,0.21389381805680813,0.035488447020345454,0.24408549113030262,0.008011282326232437,0.008011282326232437,0.05912660743527253
CNRMCM6,6.6807755264112005,116.22562605198252,0.5621312932527712,126.37295036795595,0.6112093557640649,4.998193332349102,389.0844805673109,7.29707897348954,0.7102873040790719,10.273418842746485,0.525300367647358,0.47469963235264195,1.087307116861087,1.9868844488886142,6.711614757889852,0.028187187481624337,5.264234146585598,0.01848808111265282,1.4991916800782337,12.234439870385131,0.13670242518889017,0.01566171394679767,0.29724683601115226,0.0037035918993995063,0.0037035918993995063,0.04348412348373479
ECEARTH,8.190651997181693,59.71048303505057,0.5022639831393971,77.99952531452917,0.6561050970641252,4.658054995202901,194.36248758757642,7.520376910964146,1.0755236424063128,6.992293441489116,0.602118847704409,0.3978811522955909,1.3062953329106846,2.040990272135811,4.62592755774456,0.03484671568509321,4.555443899815677,0.030930641193899888,1.1713890258652702,8.34360577760404,0.1909613844686796,0.026906500228513725,0.24924722338228802,0.008483795701226017,0.008483795701226017,0.06649338486137175
ECHAM5,8.092851168545465,111.06826048220445,0.5564062747818646,95.68895261711017,0.479362271744547,6.972452578815952,348.9479781443326,6.597810759273461,0.6639773262346158,9.936801301166916,0.5633290371719077,0.4366709628280922,0.8615328285657415,2.346847006852588,14.847807943721707,0.06820883469032726,7.544148664160096,0.027839476300218883,2.0243564943842443,19.57060049418324,0.25863648745497064,0.03125231632773806,0.6086724227608321,0.006775557712395667,0.006775557712395667,0.09300977318250453
GISSE2R,5.763074722143833,130.65174442709204,1.0515528010645219,178.09956411112105,1.4334373898385162,1.7020404681607073,217.6802664341477,8.655483012392603,1.932633203091987,4.478595834193908,0.5673926102341733,0.43260738976582674,1.363162542468053,1.7789631510432407,9.531899786865845,0.07214095538765339,9.510678646018103,0.0677750386064301,0.5238607633495245,6.908773175340717,0.3444374384293084,0.07637238679487648,0.25116848530838576,0.006089262603284199,0.006089262603284199,0.06776166048388672
IPSLCM5A,7.698114256225135,97.95935549647213,0.5764572083473685,106.50375527566445,0.6267380704330164,5.38658052797278,310.60870956914255,6.510707557434677,0.7818733515526731,8.327061594445535,0.5391052685932681,0.4608947314067319,1.0872239280861749,2.2513456247782715,7.521958791882204,0.04059981958121639,5.369763650952853,0.025118266668753726,1.5899322436884953,10.911388259603735,0.17602259055799524,0.02282091585784569,0.33129223148132314,0.005032252806056305,0.005032252806056305,0.06296652369941717
MIROC3,8.52409805696457,134.08041011157624,0.5068187393083057,145.586915503474,0.55031288249979,5.8799064821116245,432.44116634664147,7.530477968904963,0.8868775336711177,8.491000936435382,0.6064148398131255,0.39358516018687445,1.0858179459797483,1.926108007430518,10.755788822975363,0.034278670453498,7.798307505632871,0.017476906577772396,1.3312843594643782,18.934806071145122,0.1463414001816516,0.02260690694778898,0.27216444563595465,0.0038472771484041666,0.0038472771484041666,0.06483988550478745
HadGEM2,7.875669087387708,97.27165368817309,0.4821911849101887,153.4313444366484,0.760583777196194,5.658182959230353,460.779089272579,6.817837353735477,0.6093751560224265,11.188243049220345,0.43080906426783006,0.56919093573217,1.5773489872857334,1.6568356005032188,6.425969735293303,0.030567969633857734,6.598791487147108,0.029499278510974867,1.1918732660207467,9.894121433057924,0.1654392179811519,0.02160893357563543,0.480741787777145,0.0025606937635136726,0.0025606937635136726,0.0790958960390176
MPIESM11,9.851042771739566,108.28037256727012,0.6408349675316833,137.43721010889885,0.8133936741219121,4.464465877112067,271.9284688946031,8.762368972198084,1.371076097186323,6.39086990881099,0.6150479055371627,0.38495209446283735,1.2692716773163557,1.9155048184112204,8.712429249464636,0.04012532080455136,8.820278914779333,0.032178889053302566,0.8694362255665642,14.686796784107495,0.189163064832856,0.031096993691220858,0.20011302310269533,0.007381291794782814,0.007381291794782814,0.06160133036182259
