model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,6.845262566176035,140.53899655054053,0.6257064583799516,193.2680214326109,0.8604661494449418,3.0511503377336338,367.49908274861957,7.283088702422249,1.371186268576169,5.311523947789355,0.6079259667429053,0.3920740332570946,1.3751914143140194,3.132276822151838,14.853826574992558,0.05562381735687449,14.917447110849384,0.04462484279655103,1.3969927943422222,21.981003786247243,0.31237703219709695,0.059385302787546654,0.32375567934271204,0.00616043016316332,0.00616043016316332,0.09929224039797463
CESM1,8.007830058257406,84.10999206621565,0.7532795034384424,113.57881407835787,1.0171989149959506,3.484519351858439,205.58730223214235,7.627440522349496,1.2481509770220456,6.110991909446525,0.5352419678390143,0.4647580321609857,1.3503605372943426,1.6933546019883543,5.702207089192026,0.04697169167263191,5.882270921297102,0.04519861517683565,0.7391139784998954,7.549248848261244,0.2139267935534404,0.03550319259915884,0.24411335714883567,0.008013938890632023,0.008013938890632023,0.05907557787584519
CNRMCM6,6.680775508384965,116.22561442531874,0.5621313212921009,126.37291871844702,0.6112092943194185,4.998193307594256,389.0843882038074,7.297078966749983,0.7102873678100557,10.27341791146898,0.5253004132984127,0.47469958670158735,1.0873069533192141,1.9868844380887027,6.711609378780919,0.028187163048600673,5.264232492853946,0.01848807770989812,1.4991916716775004,12.234436781300827,0.1367024467297639,0.01566171094538306,0.29724678024414625,0.003703592366475716,0.003703592366475716,0.043484056355838296
ECHAM5,8.092852612094632,111.0681211472167,0.5564065324391858,95.68869092356888,0.47936178410597124,6.9724523555768005,348.9470742560695,6.597811977133221,0.6639780454183281,9.936792372368851,0.5633295238369251,0.4366704761630749,0.8615315532054157,2.3468476344813496,14.847934181113924,0.06820966033573549,7.544138830645854,0.027839526285887102,2.024356444961469,19.570549039496395,0.2586363629877846,0.031252456284481187,0.60867293003654,0.006775567448732638,0.006775567448732638,0.09301095591101922
GISSE2R,5.762537647433006,130.63961388851936,1.0516943674312136,178.0440910366408,1.43331690996448,1.701865604541993,217.61572372949735,8.655439717214561,1.9327851620549266,4.478221318717154,0.5674316899910998,0.4325683100089001,1.3628644921484059,1.7787392019207768,9.531035610138368,0.07215180429091732,9.51014379761293,0.06779330744002099,0.5237859684406786,6.906879576671344,0.3445200892350476,0.07640940781352464,0.2512290955510926,0.006090654947157505,0.006090654947157505,0.06772719675335548
IPSLCM5A,7.6981140949693305,97.95934019666335,0.5764572705548553,106.50370865941997,0.6267379616330853,5.386580464279404,310.6085873700704,6.510707446418242,0.7818734455310454,8.327060451574992,0.5391053374884314,0.4608946625115686,1.0872236220211664,2.251345571183102,7.521948348560865,0.040599765157076646,5.36976149241491,0.025118264987638042,1.5899322229426758,10.911383822718323,0.17602263278761865,0.022820918070903886,0.3312922211833156,0.00503225396712775,0.00503225396712775,0.06296636788099011
HadGEM2,7.875830785810196,97.20962791800098,0.4823607825156065,153.18768453497833,0.7601277051114294,5.657933863463802,459.9472021133729,6.81807648381172,0.6099128992012351,11.178770760121534,0.4311590854650309,0.5688409145349691,1.575848892912093,1.6567431160586448,6.412573514305643,0.03053142696740161,6.580224014621121,0.029439118343448034,1.1917997453859495,9.875957204363898,0.16546662194556838,0.02158667498729504,0.47972987747083856,0.002563669394588829,0.002563669394588829,0.07889344521368752
MPIESM11,9.851041186494436,108.27610307020453,0.6408515609623927,137.42380650319166,0.8133674782686084,4.4644482841674655,271.90501980566165,8.762382650479974,1.371109952371725,6.390722082735188,0.6150605880493062,0.3849394119506938,1.2691979357078285,1.915498855692721,8.711506298147338,0.040122069002615175,8.819547582885345,0.03217932346335956,0.8694303376083926,14.685595476053578,0.18916597758761886,0.031097738084690633,0.20010963126190753,0.007381717913430686,0.007381717913430686,0.06158491652080788
