model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,6.84538669805729,140.5689284636686,0.6256399875986943,193.3725224904029,0.8606566464941986,3.051188735918945,367.665902397767,7.283168213460844,1.3710092810680352,5.312267622132474,0.607844446252773,0.39215555374722694,1.3756420042739523,3.132328163913625,14.858524191396114,0.05562547144890628,14.92369201432491,0.044621351066315845,1.3970109374107762,21.990961880936556,0.3122899697207135,0.05936031488447251,0.3237068828939516,0.006158909774911334,0.006158909774911334,0.09936059267408728
CESM1,8.008209939139725,84.12345025517278,0.7530932854782281,113.6402813438423,1.0173350306045243,3.484766801445855,205.69640176144105,7.6275037602449896,1.2479676730146818,6.111940176959419,0.5351775341468732,0.46482246585312675,1.3508751840198627,1.693522019060442,5.704147535590388,0.04696760410558044,5.884126686922464,0.045186102968811044,0.7392097139935903,7.552940426240595,0.2138836819871723,0.03548391444798843,0.24407693901663668,0.008010465168172196,0.008010465168172196,0.05914234246363707
CNRMCM6,6.680775527831787,116.22562697483612,0.562131291074973,126.37295286215202,0.6112093606063198,4.998193334299948,389.0844878461818,7.297078974020665,0.7102872990566385,10.273418916137475,0.5253003640497453,0.4746996359502547,1.087307129687611,1.9868844497397204,6.711615180088995,0.02818718939705934,5.264234276911032,0.01848808138081404,1.499191680740267,12.234440113825928,0.1367024234913124,0.01566171418333106,0.29724684040597915,0.003703591862590735,0.003703591862590735,0.043484128743141004
ECHAM5,8.092851325351695,111.06824430460277,0.5564062975496562,95.68892419020531,0.47936221877395324,6.972452554566294,348.94787995797384,6.597810891564105,0.6639774043569365,9.93680033126142,0.5633290900366655,0.43667090996333446,0.8615326981110827,2.346847075028378,14.84782086083999,0.06820892015196378,7.544147595939916,0.027839481729729113,2.024356489015629,19.570594904832582,0.25863647393448536,0.03125233153029625,0.608672477859265,0.0067755587700194875,0.0067755587700194875,0.09300989622765155
GISSE2R,5.763245363953143,130.65558031853655,1.0515076391270501,178.11720280172608,1.4334756996168292,1.7020960295190672,217.70078894377767,8.655496768189458,1.9325848875967733,4.4787149189357605,0.5673801841630173,0.4326198158369827,1.3632575230807498,1.77903435193615,9.532175554800045,0.07213751757677557,9.51084926300778,0.06776923658785912,0.5238845418414856,6.909375288929981,0.3444111969482564,0.07636062753692284,0.25114924334862004,0.00608882007562256,0.00608882007562256,0.06777266054937034
IPSLCM5A,7.6981142705235825,97.95935685864156,0.5764572028640843,106.50375940910322,0.6267380800802497,5.386580533620435,310.60872040447316,6.510707567278431,0.781873343219657,8.327061695783296,0.5391052624843691,0.460894737515631,1.0872239551632776,2.2513456295305314,7.521959715536165,0.04059982439146462,5.369763842350156,0.02511826681782361,1.5899322455280147,10.911388653020134,0.17602258681353342,0.022820915661625522,0.33129223239454114,0.005032252703104714,0.005032252703104714,0.0629665374713376
HadGEM2,7.875612495753022,97.29341704797527,0.48213200788237254,153.5167587478231,0.7607435876384612,5.658270099270207,461.07087776694755,6.817753681226925,0.6091867721767431,11.191565530659442,0.43068641793213613,0.5693135820678639,1.577874057729149,1.6568681851984794,6.430670544784915,0.03058079218264556,6.60532124071256,0.029520458742783022,1.1918989851338326,9.900492830770148,0.1654296419503729,0.02161678530689986,0.4810979065791732,0.0025596520356917607,0.0025596520356917607,0.07916676403168844
MPIESM11,9.85104311380524,108.28130108118354,0.6408314073833725,137.44010971306616,0.8133993409657562,4.464469682523484,271.93354163857407,8.762366012822262,1.3710687734285247,6.390901888102153,0.6150451619582429,0.3849548380417571,1.269287571729683,1.9155061082210552,8.712628790000585,0.04012602210323406,8.820437134061187,0.0321787951914996,0.8694374991496434,14.687056663941258,0.18916243492069393,0.03109683292297602,0.2001137578514342,0.007381199622403263,0.007381199622403263,0.06160486799330778
