model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,5.783357605003819,283.5229892307412,0.3335016765969819,282.0327406239448,0.3317487308825572,4.411240168055759,1140.147967685524,5.2348514214308866,0.9775711668585153,5.354956855216384,0.7446517852225212,0.25534821477747877,0.9947438173855329,2.7776412910215824,14.157504614291867,0.01663669689970943,9.202396912088242,0.010799504060367492,2.1178201212073664,12.77914959282297,0.14853817267959155,0.027151646789798645,0.21262354835759928,0.0030933432128245207,0.0030933432128245207,0.037600631776352214
CESM1,8.598515392797804,272.8876716806744,0.14812509716499367,391.56840929773097,0.21254572739306343,8.035123114953166,2301.3791072121235,5.812930360895532,0.8566393878434765,6.785737900202249,0.7998116816187357,0.20018831838126425,1.434906923006524,2.8010505311842375,7.5942706968939975,0.004173921066840142,8.407330899547468,0.004659311029452779,2.6179394252166484,23.086712499681163,0.0691227628170298,0.010061151343743168,0.11341396214041861,0.002933331498852353,0.002933331498852353,0.025405124376525704
CNRMCM6,8.015756963711858,398.82251980696395,0.2839022931952989,529.6126775884715,0.37700542523387387,8.110897978538686,2279.3734002569963,6.920477748700164,0.6090751754325244,11.36227189654496,0.6149342263726705,0.38506577362732947,1.3279407538090173,2.59588908349172,8.991470852282006,0.0059933859847024285,8.476613349131572,0.005245038419551532,2.6309459495273235,23.139154662134327,0.07935034367385743,0.006647200664767455,0.179860215694359,0.0018470072240025404,0.0018470072240025404,0.021084969518835504
ECHAM5,8.972863987935366,170.50609914308134,0.4142363771245843,210.42132437832558,0.5112084993926824,8.10310597880593,777.9933125073419,6.993485691577588,0.5858620753346535,11.937085512119555,0.5241167584272488,0.4758832415727512,1.2340985186796696,2.6723140157686402,7.887884610196732,0.019525753414049933,6.367648553915459,0.016145537122796542,2.4255917973104673,6.0038890594840195,0.1944481179708928,0.015904655927892725,0.4638684194710729,0.0027677771541483385,0.0027677771541483385,0.04318254736802874
GISSE2R,8.719278950504885,208.1460072446559,0.18651439700560668,285.3291625888269,0.255676279419653,5.751571318526027,1343.7872834920156,6.067796437301393,1.2589812424950986,4.819608293191084,0.8297436696370353,0.1702563303629647,1.3708125674178775,3.7744247018564896,7.826416184491574,0.00730803249079824,8.661851952777225,0.008257219652763664,2.4908875221838267,16.744644254508902,0.07169325284064025,0.014516665559696862,0.07956807612503541,0.004221724540145651,0.004221724540145651,0.030413317578675828
IPSLCM5A,8.594455677899726,251.5249683061285,0.34544252423668637,317.6898714280778,0.4363129109988625,7.360838884780196,1169.681584571018,6.4666409829755445,0.7268230910485893,8.897132001744891,0.6201068798804173,0.37989312011958265,1.2630550102740523,2.724666963233162,8.351977405340854,0.011120018953855679,6.89687831884598,0.008780008835290908,2.339153278857001,13.155498159060699,0.11271859963679977,0.012198627995263714,0.21528810079820732,0.002141821135692375,0.002141821135692375,0.03173499488893466
HadGEM2,7.919956029140169,212.4187511829012,0.3011755039734943,240.99560084441384,0.34169286438001595,8.020288272811435,1085.077832503621,6.088353376185816,0.6418670861678405,9.485380240534386,0.6473921601309208,0.3526078398690792,1.1345307299961802,1.9677871254990051,7.269367920224719,0.010260073021102722,5.187111241591959,0.007269919528008425,1.9948391557422802,8.143241794517088,0.11805959566862646,0.012101908038224916,0.25654313607477236,0.0018508314827336903,0.0018508314827336903,0.030185086917300697
MPIESM11,11.217784889571504,196.10979921642556,0.17892895376348342,311.1759828757283,0.2839143850778786,7.811803804909796,1368.5384291603316,7.97869993265591,1.1500519424890117,6.937686584301511,0.7997261638679735,0.2002738361320265,1.5867436717545993,3.023110289909279,6.654358770151362,0.006388475592191088,8.87227665712626,0.00868771550595859,2.105980723067102,17.407411599540804,0.0903274070088884,0.012772853894939054,0.11002678923886205,0.004537483924745521,0.004537483924745521,0.029190393664755367
