model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,5.783357611552592,283.5229892468042,0.33350167647685064,282.0327410578105,0.3317487312546085,4.411240168287811,1140.14796817631,5.234851427224382,0.9775711679007549,5.354956855433604,0.7446517852127224,0.2553482147872776,0.994743818859442,2.7776412941051234,14.15750467910947,0.01663669696878126,9.202396871581254,0.010799504007557848,2.1178201213278736,12.7791495959453,0.1485381720092267,0.027151646600429354,0.21262354691945906,0.0030933432110359133,0.0030933432110359133,0.03760063229519667
CESM1,8.604226658365318,273.3323728062612,0.14739897742399652,391.86194329743216,0.2113179977198021,8.048229845708523,2313.6961632491452,5.8139162807140465,0.8568439726762869,6.7852683406930225,0.8007825619968374,0.19921743800316255,1.4336462939762538,2.803983211318171,7.508585886959398,0.0040932518785520506,8.243721513043955,0.0045278524174370794,2.6232020578977715,22.60921788637973,0.06916047039304146,0.010069443692175176,0.11346046375409005,0.0028269552221254278,0.0028269552221254278,0.02532574704325898
CNRMCM6,8.01576456328243,398.7883447416084,0.28392817141955945,529.4679688192759,0.3769690719258382,8.110866537013408,2278.8281253162736,6.920491809181458,0.6091161269333983,11.361531082788348,0.6149725040475562,0.38502749595244384,1.327691683573,2.5958901082237027,8.988399444779615,0.005992309386399692,8.475126893797668,0.0052454672228324055,2.6309340977354303,23.1323228589484,0.0793483173322747,0.00664902988896213,0.1798636648517014,0.0018471620048591938,0.0018471620048591938,0.021068037825921548
ECHAM5,8.972938453123541,170.5040735606944,0.41425910516140635,210.4084933955601,0.5112114471644968,8.103017591325592,777.932856318789,6.993565205502678,0.5858797522189132,11.93686106921398,0.5241222862949093,0.47587771370509063,1.23403792649365,2.67233238637126,7.887041492792249,0.019525109063835224,6.367917092456827,0.01614729055752728,2.4255604259020433,6.003415227544464,0.19445607147806437,0.015907015951678313,0.4638934726069003,0.0027679567380815197,0.0027679567380815197,0.04316992359936904
GISSE2R,8.719042050058086,208.14077070670712,0.18683748789531537,285.10669681692417,0.2559259237608314,5.74997558663372,1341.6306754211078,6.068302733196612,1.2591078478129742,4.819525780684346,0.8296178036524556,0.17038219634754437,1.3697782315732383,3.7741982936969896,7.848722377944607,0.007345576609604315,8.70059730448589,0.00831280178218904,2.490115403501835,16.798071287369005,0.07175813920735065,0.014531319766297485,0.07963546912957506,0.004251962506686969,0.004251962506686969,0.03034178448324395
IPSLCM5A,8.59443612414045,251.51191459440562,0.3454650563078302,317.63487669515746,0.43628847857875613,7.360801722720521,1169.5037246822008,6.4666362113495515,0.7268505067742708,8.896789850292857,0.6201284179664384,0.3798715820335617,1.2629019074797445,2.724658860091982,8.349833115345538,0.01111840410166963,6.896432102654744,0.008780794436651989,2.3391392272280935,13.15315619833435,0.11271999762671576,0.01220111576423003,0.21529850451236235,0.0021419697958159722,0.0021419697958159722,0.03171722443517345
HadGEM2,7.919954132424262,212.4181281947397,0.3011773899101108,240.99276844602934,0.341691990248807,8.020282580909171,1085.0661431440749,6.0883531769565,0.6418684009421188,9.485360500719716,0.6473931671453663,0.3526068328546336,1.13452072332119,1.9677863667742472,7.269142911346808,0.0102598510630968,5.18714025775472,0.0072700370945252574,1.9948372359988973,8.143123499418458,0.1180602776546124,0.012102200348637094,0.25654612422238626,0.0018508391877251299,0.0018508391877251299,0.03018307864706521
MPIESM11,11.211793368406399,196.47706273653966,0.17963811966325816,311.4889021143413,0.2847929416922554,7.804498620424667,1366.6061184601192,7.976770808105523,1.1497411429941564,6.937884111316059,0.7991848293092024,0.2008151706907976,1.585370311302055,3.020468302663827,6.660154923716772,0.006411688482929105,8.872130919892163,0.008713689621018433,2.1033049301856135,17.340252858605552,0.09028049975908234,0.012764626522354544,0.10999417758104636,0.004546355845462564,0.004546355845462564,0.02913745069250587
