model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,5.814275092338605,282.8203201768061,0.32753237415146574,281.7043058530768,0.32623992521848383,4.450589584764286,1152.880979868779,5.239905566816254,0.9784754431217759,5.355173299085159,0.748010115855695,0.251989884144305,0.9960539811176522,2.794829922206268,14.211915669917092,0.016427745052378376,9.196938243199527,0.010603353756833989,2.1384943847381273,13.21015217943169,0.14800299288589228,0.027016217095917356,0.2115219541764857,0.003101155420334605,0.003101155420334605,0.03804969364988452
CESM1,8.608670491911976,270.843399322921,0.1457117447260946,389.72265436369986,0.2096679042892726,8.066396982186939,2315.6854712255868,5.81292730047999,0.8566444783951226,6.785694003853497,0.8019933827406851,0.19800661725931493,1.4389224745294293,2.8069496709462896,7.585765242050362,0.004125205907982601,8.421958489749574,0.004612935466690769,2.6305260498991747,23.521801998514754,0.06911783835905556,0.010060749599397156,0.11340659972255902,0.0029247245378917555,0.0029247245378917555,0.025637332812141467
CNRMCM6,8.041281289185624,404.3373049095931,0.2763576481098706,540.5725826449901,0.3694721356612172,8.213349011774387,2357.960517515286,6.916610759954487,0.6074922915946988,11.385511973819495,0.6191648996543142,0.38083510034568585,1.3369347227702826,2.6118538260825797,9.16721977093128,0.00585792399821525,8.56025532024831,0.005039516328425503,2.6718714925721034,23.772066407065125,0.07921566987880717,0.0065752587883081155,0.17941515316383175,0.0017633674700339914,0.0017633674700339914,0.021692354923291628
ECEARTH,8.185721495810533,60.17601598522575,0.4697644862713207,79.58656767690132,0.6212930927168124,4.771976541154578,205.35339797636988,7.526248960264653,1.070040020337512,7.033614460411232,0.6148440283754809,0.3851559716245191,1.3225629243458257,2.1001206551352216,5.677018121364367,0.03723373937872389,6.204748556836503,0.0365469041891762,1.2329258616212213,12.646180986666899,0.18978468843864182,0.026529072099267977,0.24872936314027377,0.012031149150101285,0.012031149150101285,0.07025737472541338
ECHAM5,8.9990661090613,170.7687654953824,0.40522982381448525,211.136109829118,0.5010204784155496,8.211832164930923,789.5716879461638,6.986616003626655,0.5848881850346634,11.94521650871199,0.5288220279798547,0.47117797202014533,1.2363859937538,2.6885962460180806,7.933918680380095,0.019168165256348048,6.372771676661104,0.01576400900404426,2.465649725966928,6.287695711996002,0.19352540290176692,0.015770521900561222,0.4617532358286202,0.002815410740567658,0.002815410740567658,0.04366919318296023
GISSE2R,8.735056009183522,205.96133648061232,0.18171767546964726,283.75770146260516,0.25035664842487837,5.785677001783407,1360.1101080746312,6.064405506110903,1.258131308514531,4.820168980033662,0.832613059227215,0.167386940772785,1.3777231509143757,3.78408218658673,7.738610905167998,0.007089766556761575,8.556919915730532,0.007995046743172866,2.5074965687135666,16.95844019291857,0.07124161409508678,0.014415093858736794,0.07909765019531424,0.004114938708618357,0.004114938708618357,0.030879806548701177
IPSLCM5A,8.6395838747146,255.96711117682256,0.3328629275038682,325.94049300992396,0.42385721429808954,7.494528882420018,1223.136708542266,6.463180874446949,0.7247566782856331,8.917725173274984,0.6264113113579364,0.3735886886420637,1.2733686429924338,2.751505936730645,8.588668531886311,0.010811240452357679,6.977046698071353,0.008341231027427922,2.3921897898126034,13.660915772642728,0.11215928904044163,0.012008680181254523,0.21396721544021127,0.002021026155771051,0.002021026155771051,0.032902355779129595
MIROC3,8.647007819476077,150.43343400584283,0.484789243397044,164.69739372845007,0.5307565131563722,6.071109660790277,500.56213831819827,7.526790798697796,0.8829399577341682,8.524691552088449,0.6152503186977732,0.38474968130222675,1.0948190793946326,1.9802140144808835,14.324991637621185,0.03558787722778719,11.540538394666804,0.01862255608350617,1.3902684556517282,30.555603073181405,0.14387675492164312,0.023846561490264585,0.2820672801097222,0.004887288800795113,0.004887288800795113,0.07059496384869089
HadGEM2,7.949794185286399,213.4289571145411,0.2925563977158069,242.8557213528505,0.332892949317715,8.129034760538623,1112.4872317639736,6.086616681106665,0.6413064557823008,9.490964306108342,0.6532318523193719,0.3467681476806281,1.1378761562448947,1.9859200675149866,7.361342900935509,0.010037143858177855,5.168695055409717,0.006986110488543169,2.0327389544669137,8.202237882946076,0.11756233877028963,0.011990354115373518,0.25513469071303685,0.0017579974784633799,0.0017579974784633799,0.030883480088350682
MPIESM11,11.219866770554948,194.35420789902037,0.17368591938895084,310.2323491561124,0.27724118438109197,7.863293309561309,1391.2276494004022,7.963890388773737,1.1476629458682914,6.9392241140524655,0.803211943305872,0.19678805669412797,1.596221417121559,3.030759818688083,6.523426384423994,0.006097477103031756,8.65561748804973,0.008244396290338197,2.124802005828421,17.427976261579865,0.0899684787816482,0.012709691332172663,0.10977711131252677,0.004332164359171823,0.004332164359171823,0.0297835358835941
