model,C,C0,gamma,C0_prime,gamma_prime,tau_f,tau_s,F_ref,lambda,T_eq,a_f,a_s,epsilon,C_unc,C0_unc,gamma_unc,C0_prime_unc,gamma_prime_unc,tau_f_unc,tau_s_unc,F_ref_unc,lambda_unc,T_eq_unc,a_f_unc,a_s_unc,epsilon_unc
CCSM3,5.814748710766752,282.82161299795104,0.32752272362554025,281.73656141447856,0.32626617520929285,4.450608690372248,1152.921434429899,5.240321507009175,0.978549916071596,5.355190799102541,0.7480093538823305,0.25199064611766947,0.9961634771403403,2.7950532563769777,14.216832730320967,0.0164328660665229,9.194065521902397,0.010599602508248348,2.1385043048182064,13.210412974199683,0.14795484442741927,0.02700251296307107,0.21141858449082032,0.003101008388456405,0.003101008388456405,0.038088206569670865
CESM1,8.64930939711907,273.169595250833,0.15096014623180296,380.58500168509255,0.21032050604042232,8.052211310571487,2252.5763210009404,5.8434484762790815,0.8628927222739331,6.771929262400276,0.8026180454602245,0.19738195453977547,1.393218748725045,2.8191200792737248,7.46630969443958,0.0041866571761170115,8.331175037121023,0.004708991902539011,2.624877852598969,22.75879294108666,0.0702663634313475,0.010311041252380389,0.11480047827082311,0.002969114722771803,0.002969114722771803,0.022801773643802193
CNRMCM6,8.044494039231603,399.96653549374696,0.2798074966002457,521.6560363083157,0.36493870524855115,8.208833036470665,2285.431131589679,6.920435961257155,0.6129336759354271,11.29067667997773,0.6241050046072811,0.3758949953927188,1.304249205910056,2.6126853771149077,8.765601156040143,0.0057199584636497686,8.370644029759674,0.005097064093345652,2.670157268250148,22.88215260550554,0.07903892400187647,0.006817459782338124,0.17999871398087067,0.0017833604134560586,0.0017833604134560586,0.019468752177032075
ECEARTH,8.197412712941027,58.8062700927286,0.48352372179880226,74.59224392463221,0.6133209833388492,4.744501619244092,192.86073158887726,7.554880058301239,1.0895526984079253,6.933928087499182,0.6212953360554216,0.3787046639445783,1.2684403177928394,2.0991902589677864,5.404327054886842,0.037258270777285454,5.93922889048502,0.03796470663828398,1.2232889650320966,11.914162567136499,0.1939439980271529,0.028114829424001037,0.2523859686143627,0.012635470693169452,0.012635470693169452,0.058209483469458305
ECHAM5,9.013932571742382,170.43368381907314,0.40976677095154895,208.67445892442302,0.5017075104959582,8.193693618777212,777.7540144014544,7.002481255593491,0.58831648349591,11.90257531793629,0.5298282780633963,0.47017172193660367,1.224373341281205,2.6922511155897375,7.772661052645179,0.019053356605525384,6.425402819566077,0.016104362704673702,2.4591971936185955,6.196161700684313,0.19517021015600708,0.016229970164419766,0.4667684570812999,0.002853271695470132,0.002853271695470132,0.04118913138595774
GISSE2R,8.759647418133982,212.57780983864595,0.19366098757395128,280.3434488697027,0.25539631445635536,5.752259665285401,1320.273459073351,6.095541386536294,1.2660767585830346,4.8145117151967085,0.8306658185511073,0.16933418144889262,1.3187803989630584,3.792195564959129,7.974067439485763,0.00759688440766222,8.799726416534599,0.008535720063748831,2.491283680924619,16.750793261380785,0.07606965028484913,0.015499027953885658,0.08416454969620182,0.0043347485837473545,0.0043347485837473545,0.02708550223264959
IPSLCM5A,8.636843676629502,253.60932237921486,0.3367959792011155,316.03266599368624,0.4196948684864513,7.487470635787429,1190.517229976418,6.462969978255265,0.7295961898118862,8.858283621137922,0.6301771476620699,0.36982285233793016,1.2461397831469756,2.750268086612577,8.203902911037234,0.01053211079014286,6.899913816396555,0.008478988872971998,2.3895075056292847,13.252642858610288,0.11248154614767153,0.01244959453940481,0.21590754199182535,0.00204867595711299,0.00204867595711299,0.029744782200570082
MIROC3,8.64383940683074,149.57690980287646,0.48561704044522763,162.53830961603396,0.5276975769771558,6.070330860253174,495.2297096396866,7.524338009876242,0.8856421443683522,8.495912324997436,0.6172707942798477,0.38272920572015234,1.0866537477625322,1.9784099956594092,13.877031434345408,0.03408738702980792,11.33956070200113,0.01818200267551976,1.3900337664228934,30.23880787035039,0.14437075747854516,0.023057396814884275,0.2747677499006778,0.004915387459680774,0.004915387459680774,0.06645509398924646
HadGEM2,7.948621408019244,213.01479784668933,0.29385933286998706,240.89262063286907,0.3323174986341822,8.124970952432646,1104.237924720968,6.086597363786952,0.642210825924935,9.477568919864932,0.6539125228437365,0.34608747715626353,1.1308727049387617,1.9854226221893265,7.20209944918037,0.009883234354024925,5.189124707782612,0.0070654342994003584,2.031366679392281,8.123707543959354,0.11804316343955695,0.012190568925118604,0.2571983957412927,0.00176380921304808,0.00176380921304808,0.02947031731352413
MPIESM11,11.443063712199393,201.79550118336903,0.1844640423088086,304.8511691481905,0.2786686454052431,7.873102808344181,1355.7859484968392,8.119073265025424,1.1727488704440672,6.923113268018835,0.8057513944061441,0.19424860559385596,1.510693585141802,3.092751261545007,6.805953202261923,0.006543454591247994,9.02160151334822,0.008797206167760007,2.1285115849713496,17.93627035697743,0.09354237466505022,0.013344879067768026,0.11210860468416015,0.004580666052299837,0.004580666052299837,0.02444040336730647
