model,F_ref,lambda,T_eq,epsilon,kappa_pde,h_ml_pde,F_ref_unc,lambda_unc,T_eq_unc,epsilon_unc,kappa_pde_unc,h_ml_pde_unc,joint_converged,joint_reduced_chi2,joint_cond,joint_rmse_T,joint_rmse_N,joint_any_at_bound
CCSM3,4.851972841457122,0.905237247212254,5.35989085336373,0.9388112969244844,5.417234068086395e-05,10.000134074431273,0.0673459403269581,0.05976271948259781,0.0,0.06518615647746111,1.3204307793760543e-06,0.6542869374473194,True,0.8216711804580759,53844.05813599438,0.1764668377015176,0.030596691561416322,True
CESM1,5.506135781763834,0.8147957429374181,6.757688450744327,0.9795594683644775,5.297296934295404e-05,10.013869667367407,0.03963982183251859,0.04782023923033939,0.0,0.057225108162785976,8.525359100457843e-07,0.18896596158837656,True,0.8858850846227608,11481.311809109868,0.15452678888334254,0.12143367934325588,True
CNRMCM6,6.210534713900147,0.5528644729938529,11.233376382948014,1.1583262182308314,6.456762677896801e-05,10.000000000000925,0.07450280777347391,0.0328766713459556,0.0,0.06937803391916308,9.130716329296004e-07,0.23931663129205846,True,0.8988708677629751,33323.76845696408,0.3368918763075039,0.050556620841627466,True
ECHAM5,5.753357389412825,0.4794221208064062,12.000608940896301,1.0288603249467068,4.05925195016805e-05,17.90114688972765,0.0982272335951938,0.047711656687123905,0.0,0.10504261452963343,7.905160962055022e-07,4.3486665702769765,True,0.9586589607230644,8501468.96043146,0.3432320029588787,0.05119751916988216,False
GISSE2R,8.342883608155699,1.7395390950404384,4.796031104987471,1.1820345030452235,0.00018563093084000455,11.77563051822914,0.05349458053787416,0.03586310252296092,0.0,0.021638585526218713,3.269703697384478e-06,11.08840769869032,True,0.7411673848929602,9697712.141972361,0.14745474632872613,0.16729151576505966,False
IPSLCM5A,8.421455940851764,0.948899053568811,8.874975593218956,1.657516422531718,5.049862123240692e-05,12.564449693416849,0.10947509502387535,0.06926994542727824,0.0,0.1242005299018316,1.282357051184407e-06,0.31115315824466405,True,0.9743007849923684,17089.405468614663,0.2548468936892747,0.0838734309569279,False
HadGEM2,11.639253762940614,1.2357444798984416,9.418819142851582,2.16129073940033,3.683647649069746e-05,16.974112453487805,0.08401357694045351,0.053926221506930376,0.0,0.08860343790901584,1.0935385709711617e-06,0.8312828683138668,True,0.8265047278288021,173891.61403121884,0.1916235446211795,0.08618355517670606,False
MPIESM11,5.860440498660649,0.8498820927045356,6.895592399189485,0.9990026075903158,2.8799430820790518e-05,44.674432279102014,0.031037825511602658,0.014484677111088022,0.0,0.0206383855081452,8.041741083556627e-07,4.31907714726254,True,0.9845498066180308,1865767.7440864595,0.26292608027480036,0.021792648640957635,False
